Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,UN-19,10094,Task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,High,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:31 PM,01/Apr/26 12:38 PM,01/Apr/26 12:32 PM,01/Apr/26 12:38 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f073595,,,,,,,,,,,,,,,,0|i0002r:,,,UN Sprint 1,,,,,,,,,,,3_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_363670,,,,Done,01/Apr/26 12:38 PM
WRITE TEST CASES FOR FULL NAME TEXTFIELD,UN-20,10096,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:34 PM,01/Apr/26 12:39 PM,,01/Apr/26 12:39 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21c3a3af,,,,,,,,,,,,,,,,0|i0006n:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_313139,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:39 PM
WRITE TEST CASES FOR EMAIL TEXTFIELD,UN-21,10098,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:34 PM,01/Apr/26 12:39 PM,,01/Apr/26 12:39 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54e307d1,,,,,,,,,,,,,,,,0|i0006v:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_324954,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:39 PM
WRITE TEST CASES FOR MOBILE NUMBER TEXTFIELD,UN-22,10100,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:34 PM,01/Apr/26 12:40 PM,,01/Apr/26 12:40 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37bc9df3,,,,,,,,,,,,,,,,0|i00073:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_312234,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:40 PM
WRITE TEST CASES FOR OTP FIELD,UN-23,10102,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:35 PM,01/Apr/26 12:40 PM,,01/Apr/26 12:40 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27a013a3,,,,,,,,,,,,,,,,0|i0007b:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_344014,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:40 PM
WRITE TEST CASES FOR PASSWORD FIELD,UN-24,10104,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:35 PM,01/Apr/26 12:40 PM,,01/Apr/26 12:40 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42b0f333,,,,,,,,,,,,,,,,0|i0007j:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_338909,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:40 PM
WRITE TEST CASES FOR CONFIRM PASSWORD FIELD,UN-25,10106,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:35 PM,01/Apr/26 12:40 PM,,01/Apr/26 12:40 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5cfc98e9,,,,,,,,,,,,,,,,0|i0007r:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_332018,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:40 PM
WRITE TEST CASES FOR TERMS & CONDITIONS CHECKBOX,UN-26,10108,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:35 PM,01/Apr/26 12:40 PM,,01/Apr/26 12:40 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ad87f2c,,,,,,,,,,,,,,,,0|i0007z:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_319902,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:40 PM
WRITE TEST CASES FOR SIGN UP BUTTON,UN-27,10110,Sub-task,Done,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,Done,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:35 PM,01/Apr/26 12:40 PM,,01/Apr/26 12:40 PM,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f342892,,,,,,,,,,,,,,,,0|i00087:,,,UN Sprint 1,,,,,,,,,,,10006_*:*_1_*:*_0_*|*_10005_*:*_1_*:*_311833,10094,UN-19,WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,Done,01/Apr/26 12:40 PM
USER SHOULD BE ABLE TO REGISTER THROUGH SOCIAL LOGIN LIKE FACEBOOK/GOOGLE,UN-3,10078,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 10:48 AM,01/Apr/26 12:37 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75112a69,,,,,,,,,,,,,,,,0|i0002v:,,,UN Sprint 1,,,,,,,,,,,,10076,UN-1,USER MANAGEMENT,To Do,01/Apr/26 12:37 PM
USER SHOULD BE ABLE TO LOGIN TO THE APPLICATION,UN-4,10079,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 10:49 AM,01/Apr/26 10:55 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a33105c,,,,,,,,,,,,,,,,0|i00033:,,,UN Sprint 1,,,,,,,,,,,,10076,UN-1,USER MANAGEMENT,To Do,01/Apr/26 10:49 AM
WRITE FUNCTIONALITY  TEST CASE FOR REGISTRATION MODULE,UN-5,10080,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Highest,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 10:52 AM,01/Apr/26 10:55 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f7cc580,,,,,,,,,,,,,,,,0|i0003b:,,,UN Sprint 1,,,,,,,,,,,,10076,UN-1,USER MANAGEMENT,To Do,01/Apr/26 10:52 AM
DASHBOARD MANAGEMENT,UN-6,10081,Epic,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,High,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 11:29 AM,01/Apr/26 12:23 PM,01/Apr/26 12:23 PM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@10a6adac,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i0003j:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,01/Apr/26 11:29 AM
COURSE MANAGEMENT,UN-7,10082,Epic,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,High,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 11:29 AM,01/Apr/26 11:29 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b421223,,,,,ghx-label-2,,To Do,,,,dark_yellow,,,,,0|i0003r:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,01/Apr/26 11:29 AM
VIDEO AND RATING MENAGEMENT,UN-8,10083,Epic,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 11:30 AM,01/Apr/26 11:30 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6dd2f5c9,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i0003z:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,01/Apr/26 11:30 AM
USER SHOULD BE ABLE TO NAVIGATE AND SEARCH FOR COURSES,UN-9,10084,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 11:33 AM,01/Apr/26 12:21 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2125fded,,,,,,,,,,,,,,,,0|i00047:,,,UN Sprint 1,,,,,,,,,,,,10081,UN-6,DASHBOARD MANAGEMENT,To Do,01/Apr/26 11:33 AM
USER SHOULD BE ABLE TO EDIT THEIR PROFILE,UN-10,10085,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 11:41 AM,01/Apr/26 12:21 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@205a0dd6,,,,,,,,,,,,,,,,0|i0004f:,,,UN Sprint 1,,,,,,,,,,,,10081,UN-6,DASHBOARD MANAGEMENT,To Do,01/Apr/26 11:41 AM
USER SHOULD BE ABLE TO CHANGE THEIR PASSWORD,UN-11,10086,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 11:41 AM,01/Apr/26 12:21 PM,01/Apr/26 11:55 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7deba5e4,,,,,,,,,,,,,,,,0|i0004n:,,,UN Sprint 1,,,,,,,,,,,,10081,UN-6,DASHBOARD MANAGEMENT,To Do,01/Apr/26 11:41 AM
